Zipcode,Year,Average House Price
30291,2019,150722.25
30291,2020,164794.9167
30291,2021,182941.8333
30233,2013,105890.3333
30233,2014,113644.75
30233,2015,119673.4167
30233,2016,125277.0833
30233,2017,131910.3333
30233,2018,140360.75
30233,2019,149614.1667
30233,2020,156957.4167
30233,2021,166309.1667
30021,2013,105748.6667
30021,2014,125955.6667
30021,2015,132389.25
30021,2016,143733.9167
30021,2017,157698.75
30021,2018,181724.0833
30021,2019,193607.1667
30021,2020,213189
30021,2021,241272.5
30121,2013,119022.1667
30121,2014,127567.75
30121,2015,133653.25
30121,2016,143343
30121,2017,155646.9167
30121,2018,169862.1667
30121,2019,184949.75
30121,2020,197011.1667
30121,2021,218885.6667
30141,2013,137361.5833
30141,2014,142981.4167
30141,2015,154954.8333
30141,2016,155977.8333
30141,2017,162159.5833
30141,2018,177764.4167
30141,2019,192003.9167
30141,2020,207186
30141,2021,232802.1667
30116,2013,106621.5833
30116,2014,114617.0833
30116,2015,123051.0833
30116,2016,132377.5
30116,2017,144524.1667
30116,2018,158518.5
30116,2019,171035.5833
30116,2020,186455.8333
30116,2021,203728.6667
30035,2013,69222.83333
30035,2014,84877
30035,2015,90180.33333
30035,2016,101700.6667
30035,2017,111175.6667
30035,2018,133278
30035,2019,152607.4167
30035,2020,166726.1667
30035,2021,186294.3333
30009,2013,281669.1667
30009,2014,312236
30009,2015,330464.3333
30009,2016,350437.1667
30009,2017,377766.9167
30009,2018,403371.1667
30009,2019,420930.25
30009,2020,437089.75
30009,2021,477846
30017,2013,186339.3333
30017,2014,210133.3333
30017,2015,220247
30017,2016,228730.1667
30017,2017,240696.5
30017,2018,259504
30017,2019,272714.1667
30017,2020,287147.75
30017,2021,322946.8333
30106,2013,103858
30106,2014,121562
30106,2015,132682.8333
30106,2016,143289.3333
30106,2017,156021.5833
30106,2018,170846.6667
30106,2019,183968.1667
30106,2020,198018.5833
30106,2021,226954.5
30071,2013,117025.1667
30071,2014,135345.4167
30071,2015,148187.75
30071,2016,160784.75
30071,2017,175638
30071,2018,194885.5
30071,2019,208863.5
30071,2020,220648.8333
30071,2021,247265.5
30314,2013,46967.75
30314,2014,50527.91667
30314,2015,51044.91667
30314,2016,62559.33333
30314,2017,79292
30314,2018,116054.4167
30314,2019,161964.0833
30314,2020,199191.25
30314,2021,235272.5
30277,2013,196425.75
30277,2014,212612.8333
30277,2015,220739.9167
30277,2016,230870.5
30277,2017,240888.4167
30277,2018,253357.25
30277,2019,265285.25
30277,2020,278296.6667
30277,2021,302896.3333
30273,2013,63899.41667
30273,2014,79013
30273,2015,87659.41667
30273,2016,93078.75
30273,2017,107820
30273,2018,124711.25
30273,2019,141483.4167
30273,2020,153337.1667
30273,2021,169746.6667
30179,2013,99243.75
30179,2014,106238.75
30179,2015,113898.5
30179,2016,122364.5833
30179,2017,133428.75
30179,2018,148039.3333
30179,2019,158633.75
30179,2020,172442.0833
30179,2021,191725.6667
30354,2013,57238.08333
30354,2014,66741
30354,2015,71885.5
30354,2016,82219.66667
30354,2017,96628
30354,2018,119489.5833
30354,2019,147885.5833
30354,2020,167953.6667
30354,2021,193087.8333
30276,2013,193968.3333
30276,2014,207589.5833
30276,2015,218950
30276,2016,230170.9167
30276,2017,241293.1667
30276,2018,259045.9167
30276,2019,271765.8333
30276,2020,289641.1667
30276,2021,316741.1667
30317,2013,255214.9167
30317,2014,276714.3333
30317,2015,308806.1667
30317,2016,334914.4167
30317,2017,363765.9167
30317,2018,412574.0833
30317,2019,431099.0833
30317,2020,442067.75
30317,2021,481100.3333
