Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Year,Zipcode_Year
30101,57205,36.1,76105,30946,5028,2015,30101_2015
30101,57244,37.2,81097,33227,3949,2016,30101_2016
30101,58333,37.3,83534,34540,3922,2017,30101_2017
30101,58041,38.2,88809,36860,4016,2018,30101_2018
30101,59515,38,91786,38018,4169,2019,30101_2019
30102,35198,36.3,62523,28076,4224,2013,30102_2013
30102,36969,36.5,60625,27357,4551,2014,30102_2014
30102,37455,37.4,60664,27360,4416,2015,30102_2015
30102,38841,37,60699,26326,4799,2016,30102_2016
30102,40556,36.5,62051,27447,6178,2017,30102_2017
30102,41642,36.2,64585,28829,4921,2018,30102_2018
30102,42278,35.8,67042,29443,4984,2019,30102_2019
30103,16596,35.2,44600,18695,3117,2013,30103_2013
30103,16174,35.4,46909,19747,2789,2014,30103_2014
30103,16358,36.5,47106,19809,2752,2015,30103_2015
30103,16186,37.4,43661,20925,2270,2016,30103_2016
30103,15830,37.9,43093,21813,1964,2017,30103_2017
30103,16138,38.8,47534,23485,1757,2018,30103_2018
30103,15787,39.8,48509,22582,2155,2019,30103_2019
30106,18316,38.7,45850,24017,3327,2013,30106_2013
30106,19049,38,44120,24120,3827,2014,30106_2014
30106,19619,38.6,45857,24229,3789,2015,30106_2015
30106,19952,38.2,44817,24687,3356,2016,30106_2016
30106,22375,37.5,47659,23720,3998,2017,30106_2017
30106,21742,36.7,52294,25871,3191,2018,30106_2018
30106,21718,37.1,55924,26706,2665,2019,30106_2019
30107,12522,40.6,63362,27977,1052,2013,30107_2013
30107,13529,40.7,65475,26976,1261,2014,30107_2014
30107,13872,40,62456,25649,1651,2015,30107_2015
30107,14710,40.2,66709,26340,1150,2016,30107_2016
30107,14536,41.2,72695,29015,859,2017,30107_2017
30107,14606,40.7,74200,31054,1108,2018,30107_2018
30107,13517,41.3,76621,33195,1081,2019,30107_2019
30108,7644,38.6,37335,19726,1772,2013,30108_2013
30108,7513,42.8,39832,22135,1459,2014,30108_2014
30108,7508,44.6,38826,22439,1603,2015,30108_2015
30108,7360,43.4,39750,23257,1453,2016,30108_2016
30108,7665,43.5,38676,21756,1202,2017,30108_2017
30108,7351,46.7,39464,21698,1191,2018,30108_2018
30108,7755,45,43271,22425,1232,2019,30108_2019
30114,50138,37.4,59879,28031,6712,2013,30114_2013
30114,51821,37.2,60743,29302,7075,2014,30114_2014
30114,51915,37.9,61322,29463,7494,2015,30114_2015
30114,52268,37.3,63199,30859,7099,2016,30114_2016
30114,53695,37.3,66756,31747,7189,2017,30114_2017
30114,53210,37.6,72730,33632,6406,2018,30114_2018
30114,54709,37.7,75417,33773,5965,2019,30114_2019
30115,38093,35.8,73032,29158,4329,2013,30115_2013
30115,37262,36.6,70383,28950,4347,2014,30115_2014
30115,37964,36.8,74713,30542,4203,2015,30115_2015
30115,38817,37.7,79546,32027,3947,2016,30115_2016
30115,38950,38.6,82759,34257,1997,2017,30115_2017
30115,41105,38.1,90519,36130,2176,2018,30115_2018
30115,42934,38,101626,38296,1613,2019,30115_2019
30116,22793,34.7,50983,22504,3563,2013,30116_2013
30116,22868,35.8,49203,23046,3448,2014,30116_2014
30116,23090,35.8,47137,22691,3639,2015,30116_2015
30116,23536,36.2,48290,23717,3750,2016,30116_2016
30116,23588,37.7,49179,24911,3007,2017,30116_2017
30116,24161,38.2,54823,26755,2936,2018,30116_2018
30116,25169,36,57816,27060,2946,2019,30116_2019
30117,34266,31.9,36075,19839,9396,2013,30117_2013
30117,34279,31.4,35593,19827,9821,2014,30117_2014
30117,35169,30.9,35592,20292,9722,2015,30117_2015
30117,36008,30.9,39373,20728,8474,2016,30117_2016
30117,36298,31.4,40228,22203,8432,2017,30117_2017
30117,35575,31.2,43871,23902,8952,2018,30117_2018
30117,35620,31,45969,23773,9230,2019,30117_2019
30120,37250,35.9,44141,20678,7276,2013,30120_2013
30120,37480,36.4,45619,21961,7108,2014,30120_2014
30120,39361,37.3,47432,23068,7347,2015,30120_2015
30120,39902,36.9,50691,23644,7373,2016,30120_2016
30120,40598,36,54257,25169,7419,2017,30120_2017
30120,41253,37,58240,26655,6921,2018,30120_2018
30120,40945,37.4,60133,27639,6686,2019,30120_2019
30121,21652,35.9,46344,21703,3394,2013,30121_2013
30121,22514,34.6,45007,21258,3022,2014,30121_2014
30121,22521,33.5,50153,23006,2473,2015,30121_2015
30121,23939,33.3,55126,23871,1994,2016,30121_2016
30121,23795,35.2,53614,25301,1864,2017,30121_2017
30121,23373,34.7,53658,25253,1761,2018,30121_2018
30121,24742,34.7,56232,26267,2819,2019,30121_2019
30122,23930,32.8,42308,20359,4209,2013,30122_2013
30122,22955,34.1,44843,21481,4132,2014,30122_2014
