Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
08821,160.0,46.6,107273.0,65789.0,50.0
08822,31020.0,43.7,103065.0,47242.0,2030.0
08823,9401.0,36.0,96570.0,47150.0,291.0
08824,12721.0,40.7,117824.0,45320.0,415.0
08825,4413.0,45.3,96745.0,42144.0,149.0
08826,5575.0,46.5,97708.0,47792.0,260.0
08827,4107.0,49.6,107105.0,48654.0,275.0
08828,2390.0,39.5,77574.0,32912.0,102.0
08829,3692.0,41.1,95750.0,46220.0,35.0
08830,18021.0,38.7,80433.0,33263.0,1147.0
08831,47706.0,50.7,69897.0,43113.0,2473.0
08832,2317.0,29.9,43750.0,20555.0,591.0
08833,8890.0,48.0,130664.0,72590.0,186.0
08835,10426.0,40.9,62787.0,29397.0,957.0
08836,3868.0,48.6,136509.0,63178.0,254.0
08837,16601.0,38.5,76548.0,35216.0,811.0
08840,16592.0,42.2,107775.0,47914.0,514.0
08844,39365.0,40.5,114991.0,47343.0,1385.0
08846,13766.0,40.7,81424.0,34511.0,360.0
08848,8359.0,47.0,95407.0,44796.0,141.0
08850,8484.0,43.2,99568.0,41934.0,665.0
08852,17242.0,38.4,100208.0,44016.0,638.0
08853,5344.0,41.5,120566.0,44901.0,296.0
08854,57600.0,32.6,89572.0,31950.0,2990.0
08857,40466.0,40.6,85175.0,38610.0,1172.0
08858,102.0,66.3,190417.0,80981.0,0.0
08859,21184.0,40.3,82172.0,35606.0,1189.0
08861,54176.0,33.4,46474.0,19657.0,11778.0
08863,12362.0,39.7,78822.0,33290.0,1034.0
08865,29610.0,40.8,54789.0,27509.0,3632.0
08867,5398.0,46.6,118378.0,56307.0,150.0
08869,7318.0,37.8,73565.0,35632.0,618.0
08872,20639.0,37.5,79921.0,32370.0,1212.0
08873,51722.0,40.5,88491.0,38784.0,3086.0
08876,22341.0,39.6,88797.0,41979.0,894.0
08879,22885.0,41.3,73685.0,36983.0,1278.0
08880,4585.0,36.2,73094.0,31163.0,378.0
08882,16177.0,37.9,65509.0,26721.0,2018.0
08884,8359.0,42.5,76110.0,33750.0,292.0
08886,6826.0,39.8,109235.0,42257.0,223.0
08887,1022.0,42.1,74911.0,42395.0,68.0
08889,9831.0,44.9,124289.0,60011.0,521.0
08890,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
08901,56016.0,23.0,38399.0,14070.0,16711.0
08902,42245.0,36.4,80549.0,34482.0,2583.0
08904,14224.0,33.2,66414.0,38502.0,1935.0
10001,22767.0,34.4,81445.0,77512.0,4125.0
10002,79894.0,40.9,32966.0,26905.0,21803.0
10003,57068.0,32.2,97524.0,79088.0,4950.0
10004,3024.0,33.0,123409.0,98020.0,259.0
10005,7570.0,28.8,121840.0,99633.0,778.0
10006,2950.0,31.0,121316.0,97226.0,245.0
10007,6748.0,34.9,250001.0,173257.0,174.0
10009,61806.0,36.2,61154.0,44714.0,12814.0
10010,30708.0,35.7,100763.0,81938.0,3859.0
10011,52941.0,39.6,104974.0,111064.0,4549.0
10012,24846.0,34.5,95577.0,77712.0,2470.0
10013,26937.0,37.1,97228.0,96781.0,3351.0
10014,31835.0,37.0,109557.0,107342.0,2089.0
10016,50112.0,33.1,103960.0,87576.0,5226.0
10017,16278.0,37.3,102165.0,104324.0,1164.0
10018,8062.0,30.6,100298.0,76632.0,1230.0
10019,38752.0,39.7,90174.0,86447.0,4551.0
10020,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10021,42142.0,40.3,109398.0,115478.0,3190.0
10022,29699.0,46.0,115604.0,132596.0,1505.0
10023,60762.0,41.8,111265.0,99916.0,4824.0
10024,59249.0,41.5,109784.0,97669.0,4206.0
10025,97373.0,39.3,71865.0,56151.0,15786.0
10026,38372.0,34.3,47318.0,30904.0,10948.0
10027,63057.0,30.4,40013.0,27977.0,17111.0
10028,46169.0,39.7,115485.0,111660.0,2505.0
10029,77857.0,33.5,31446.0,25577.0,22704.0
10030,29530.0,34.0,32561.0,23064.0,9113.0
10031,58912.0,33.4,38338.0,22954.0,16177.0
10032,59069.0,34.6,35979.0,19137.0,16472.0
10033,60520.0,35.9,44595.0,23976.0,14323.0
